Date,Rate,"ISO Code From","ISO Code To"
"8/8/2024 Thursday",0.91597,USD,EUR
"8/9/2024 Friday",0.91544,USD,EUR
"8/12/2024 Monday",0.91479,USD,EUR
"8/13/2024 Tuesday",0.90956,USD,EUR
"8/14/2024 Wednesday",0.90806,USD,EUR
"8/15/2024 Thursday",0.91120,USD,EUR
"8/16/2024 Friday",0.90617,USD,EUR
"8/19/2024 Monday",0.90203,USD,EUR
"8/20/2024 Tuesday",0.89853,USD,EUR
"8/21/2024 Wednesday",0.89656,USD,EUR
"8/22/2024 Thursday",0.89966,USD,EUR
"8/23/2024 Friday",0.89265,USD,EUR
"8/26/2024 Monday",0.89580,USD,EUR
"8/27/2024 Tuesday",0.89414,USD,EUR
"8/28/2024 Wednesday",0.89896,USD,EUR
"8/29/2024 Thursday",0.90268,USD,EUR
"8/30/2024 Friday",0.90407,USD,EUR
"9/2/2024 Monday",0.90320,USD,EUR
"9/3/2024 Tuesday",0.90540,USD,EUR
"9/4/2024 Wednesday",0.90224,USD,EUR
"9/5/2024 Thursday",0.90007,USD,EUR
"9/6/2024 Friday",0.90170,USD,EUR
"9/9/2024 Monday",0.90584,USD,EUR
